Exercicio,Orgao,Unidade_Orcamentaria,Programa_de_Trabalho,Acao,Descricao_Acao,Fonte_de_Recursos,Descricao_Fonte,Elemento_Despesa,Descricao_Elemento,Item_Despesa,Descricao_item_Despesa,Orcamento_Atualizado,Empenhado,Liquidado,Pago,Pago_Restos_Pagar
2016,11,01,11010412203892169,2169,APOIO ADMINISTRATIVO - GESTAO E FINANCAS PUBLICAS,100,100 - ORDINARIOS NAO VINCULADOS,339039,Outros Serviços de Terceiros - Pessoa Jurídica,33903900,Outros Serviços De Terceiros - Pessoa Jurídica,11950597 23,0,0,0,0
2016,11,01,11010412203892169,2169,APOIO ADMINISTRATIVO - GESTAO E FINANCAS PUBLICAS,100,100 - ORDINARIOS NAO VINCULADOS,339039,Outros Serviços de Terceiros - Pessoa Jurídica,33903901,Serviços De Correspondência,0,96620 729999999996,96620 729999999996,96620 729999999996,99704 709999999992
2016,11,01,11010412203892169,2169,APOIO ADMINISTRATIVO - GESTAO E FINANCAS PUBLICAS,100,100 - ORDINARIOS NAO VINCULADOS,339039,Outros Serviços de Terceiros - Pessoa Jurídica,33903903,Serviços Gráficos Em Geral Por Pessoa Jurídica,0,20693,20693,20693,20693
2016,11,01,11010412203892169,2169,APOIO ADMINISTRATIVO - GESTAO E FINANCAS PUBLICAS,100,100 - ORDINARIOS NAO VINCULADOS,339039,Outros Serviços de Terceiros - Pessoa Jurídica,33903904,Serviços De Reparo  Adaptação  Conservação  Restauração E Instalação De Bens Móveis E Imóveis Por Pessoa Jurídica,0,11419,11419,11419,18139
2016,11,01,11010412203892169,2169,APOIO ADMINISTRATIVO - GESTAO E FINANCAS PUBLICAS,100,100 - ORDINARIOS NAO VINCULADOS,339039,Outros Serviços de Terceiros - Pessoa Jurídica,33903913,Serviços de Transporte  Frete e Carretos,0,9273449 4699999988,9273449 4699999988,9195299 4699999988,9991983 6899999995
2016,11,01,11010412203892169,2169,APOIO ADMINISTRATIVO - GESTAO E FINANCAS PUBLICAS,100,100 - ORDINARIOS NAO VINCULADOS,339039,Outros Serviços de Terceiros - Pessoa Jurídica,33903914,Assinaturas E Publicações,0,103893 15999999999,103893 15999999999,103893 16000000002,105555 96000000002
2016,11,01,11010412203892169,2169,APOIO ADMINISTRATIVO - GESTAO E FINANCAS PUBLICAS,100,100 - ORDINARIOS NAO VINCULADOS,339039,Outros Serviços de Terceiros - Pessoa Jurídica,33903917,Serviços para Eventos com fins Educativos  Culturais e Sociais,0,0,0,0,843143 5
2016,11,01,11010412203892169,2169,APOIO ADMINISTRATIVO - GESTAO E FINANCAS PUBLICAS,100,100 - ORDINARIOS NAO VINCULADOS,339039,Outros Serviços de Terceiros - Pessoa Jurídica,33903929,Máquinas  Equipamentos  Móveis e Utensílios - Locação,0,30521,30521,30521,30521
2016,11,01,11010412203892169,2169,APOIO ADMINISTRATIVO - GESTAO E FINANCAS PUBLICAS,100,100 - ORDINARIOS NAO VINCULADOS,339039,Outros Serviços de Terceiros - Pessoa Jurídica,33903934,Despesas Miúdas De Pronto Pagamento E/Ou De Caráter Extraordinário Ou Urgente,0,458077 79999999999,458077 79999999993,458077 79999999999,458077 79999999999
2016,11,01,11010412203892169,2169,APOIO ADMINISTRATIVO - GESTAO E FINANCAS PUBLICAS,100,100 - ORDINARIOS NAO VINCULADOS,339039,Outros Serviços de Terceiros - Pessoa Jurídica,33903938,Contribuições A Associações E Outras Entidades De Classe,0,249231 76999999999,249231 76999999999,249231 76999999999,249231 76999999999
2016,11,01,11010412203892169,2169,APOIO ADMINISTRATIVO - GESTAO E FINANCAS PUBLICAS,100,100 - ORDINARIOS NAO VINCULADOS,339039,Outros Serviços de Terceiros - Pessoa Jurídica,33903939,Ticket Combustível,0,459981 68999999994,459981 69,423439 70000000001,464644 16000000003
2016,11,01,11010412203892169,2169,APOIO ADMINISTRATIVO - GESTAO E FINANCAS PUBLICAS,100,100 - ORDINARIOS NAO VINCULADOS,339039,Outros Serviços de Terceiros - Pessoa Jurídica,33903948,Serviços De Reparo  Adaptação  Conservação  Restauração E Instalação De Elevadores,0,0,0,0,220
2016,11,01,11010412203892169,2169,APOIO ADMINISTRATIVO - GESTAO E FINANCAS PUBLICAS,100,100 - ORDINARIOS NAO VINCULADOS,339039,Outros Serviços de Terceiros - Pessoa Jurídica,33903996,LOCACAO DE VEICULOS DE REPRESENTACAO E OPERACIONAL,0,336825,336825,336825,336825
2016,11,01,11010412203892169,2169,APOIO ADMINISTRATIVO - GESTAO E FINANCAS PUBLICAS,100,100 - ORDINARIOS NAO VINCULADOS,339047,Obrigações Tributárias e Contributivas,33904700,Obrigações Tributárias E Contributivas,1000,0,0,0,0
2016,11,01,11010412203892169,2169,APOIO ADMINISTRATIVO - GESTAO E FINANCAS PUBLICAS,100,100 - ORDINARIOS NAO VINCULADOS,339092,Despesas de Exercícios Anteriores,33909200,Despesas De Exercícios Anteriores,205261 5,0,0,0,0
2016,11,01,11010412203892169,2169,APOIO ADMINISTRATIVO - GESTAO E FINANCAS PUBLICAS,100,100 - ORDINARIOS NAO VINCULADOS,339092,Despesas de Exercícios Anteriores,33909223,Serviços para Fins Educativos  Culturais e Sociais  inclusive Divulgação,0,0,0,0,0
2016,11,01,11010412203892169,2169,APOIO ADMINISTRATIVO - GESTAO E FINANCAS PUBLICAS,100,100 - ORDINARIOS NAO VINCULADOS,339139,Outros Serviços de Terceiros - Pessoa Jurídica,33913900,Outros Serviços de Terceiros - Pessoa Jurídica,180000,0,0,0,0
2016,11,01,11010412203892169,2169,APOIO ADMINISTRATIVO - GESTAO E FINANCAS PUBLICAS,100,100 - ORDINARIOS NAO VINCULADOS,339139,Outros Serviços de Terceiros - Pessoa Jurídica,33913901,Serviços gráficos em geral  por Pessoa Jurídica,0,113179 38,113179 38,113179 37999999999,117256 87999999999
2016,11,01,11010412203892169,2169,APOIO ADMINISTRATIVO - GESTAO E FINANCAS PUBLICAS,100,100 - ORDINARIOS NAO VINCULADOS,339139,Outros Serviços de Terceiros - Pessoa Jurídica,33913907,Serviços de Publicidade Legal,0,5753 0699999999997,5753 0699999999997,5753 0699999999997,5753 0699999999997
2016,11,01,11010412203892169,2169,APOIO ADMINISTRATIVO - GESTAO E FINANCAS PUBLICAS,100,100 - ORDINARIOS NAO VINCULADOS,449052,Equipamentos e Material Permanente,44905200,Equipamentos E Material Permanente,0,0,0,0,0
2016,11,01,11010412203892349,2349,DESPESAS OBRIGATORIAS E OUTROS CUSTEIOS DA ADMINISTRACAO DIRETA - GESTAO E FINANCAS PUBLIC,100,100 - ORDINARIOS NAO VINCULADOS,339039,Outros Serviços de Terceiros - Pessoa Jurídica,33903900,Outros Serviços De Terceiros - Pessoa Jurídica,2767000,0,0,0,0
2016,11,01,11010412203892349,2349,DESPESAS OBRIGATORIAS E OUTROS CUSTEIOS DA ADMINISTRACAO DIRETA - GESTAO E FINANCAS PUBLIC,100,100 - ORDINARIOS NAO VINCULADOS,339039,Outros Serviços de Terceiros - Pessoa Jurídica,33903922,Vale-Transporte,0,44580,36780 580000000002,36780 580000000002,36780 580000000002
2016,11,01,11010412203892349,2349,DESPESAS OBRIGATORIAS E OUTROS CUSTEIOS DA ADMINISTRACAO DIRETA - GESTAO E FINANCAS PUBLIC,100,100 - ORDINARIOS NAO VINCULADOS,339039,Outros Serviços de Terceiros - Pessoa Jurídica,33903923,Vale-Refeição E Vale Alimentação,0,2663867 71,2177354 79,1986757 1699999999,2147889 5699999998
2016,11,01,11010412203892349,2349,DESPESAS OBRIGATORIAS E OUTROS CUSTEIOS DA ADMINISTRACAO DIRETA - GESTAO E FINANCAS PUBLIC,100,100 - ORDINARIOS NAO VINCULADOS,339039,Outros Serviços de Terceiros - Pessoa Jurídica,33903980,CARTAO CESTA DE NATAL,0,0,0,0,117123 60000000001
2016,11,01,11010412203892419,2419,CONCESSIONARIAS DE SERVICOS PUBLICOS - ADM. DIRETA - GESTAO E FINANCAS PUBLICAS,100,100 - ORDINARIOS NAO VINCULADOS,339039,Outros Serviços de Terceiros - Pessoa Jurídica,33903900,Outros Serviços De Terceiros - Pessoa Jurídica,1752900,0,0,0,0
2016,11,01,11010412203892419,2419,CONCESSIONARIAS DE SERVICOS PUBLICOS - ADM. DIRETA - GESTAO E FINANCAS PUBLICAS,100,100 - ORDINARIOS NAO VINCULADOS,339039,Outros Serviços de Terceiros - Pessoa Jurídica,33903902,Serviços De Luz E Força Motriz,0,1162073 72,1162073 7200000002,1162073 72,1201419 3
2016,11,01,11010412203892419,2419,CONCESSIONARIAS DE SERVICOS PUBLICOS - ADM. DIRETA - GESTAO E FINANCAS PUBLICAS,100,100 - ORDINARIOS NAO VINCULADOS,339039,Outros Serviços de Terceiros - Pessoa Jurídica,33903926,Serviços De Telefonia,0,271378 69,271378 69000000006,248505 78999999998,715736 84000000008
2016,11,01,11010412203892419,2419,CONCESSIONARIAS DE SERVICOS PUBLICOS - ADM. DIRETA - GESTAO E FINANCAS PUBLICAS,100,100 - ORDINARIOS NAO VINCULADOS,339039,Outros Serviços de Terceiros - Pessoa Jurídica,33903928,Serviços De Água E Esgoto,0,0,0,0,310 72000000000003
2016,11,01,11010412203892419,2419,CONCESSIONARIAS DE SERVICOS PUBLICOS - ADM. DIRETA - GESTAO E FINANCAS PUBLICAS,100,100 - ORDINARIOS NAO VINCULADOS,339039,Outros Serviços de Terceiros - Pessoa Jurídica,33903929,Máquinas  Equipamentos  Móveis e Utensílios - Locação,0,7979,7979,7979,7979
2016,11,01,11010412203892419,2419,CONCESSIONARIAS DE SERVICOS PUBLICOS - ADM. DIRETA - GESTAO E FINANCAS PUBLICAS,100,100 - ORDINARIOS NAO VINCULADOS,339039,Outros Serviços de Terceiros - Pessoa Jurídica,33903939,Ticket Combustível,0,60720 699999999997,60720 699999999997,60720 699999999997,60720 699999999997
2016,11,01,11010412203892529,2529,PROVISAO DE GASTOS COM PESSOAL - GESTAO E FINANCAS PUBLICAS,100,100 - ORDINARIOS NAO VINCULADOS,319011,Vencimentos e Vantagens Fixas - Pessoal Civil,31901100,Vencimentos e Vantagens Fixas - Pessoal Civil,48444000,0,0,0,0
2016,11,01,11010412203892529,2529,PROVISAO DE GASTOS COM PESSOAL - GESTAO E FINANCAS PUBLICAS,100,100 - ORDINARIOS NAO VINCULADOS,319011,Vencimentos e Vantagens Fixas - Pessoal Civil,31901101,Vencimentos De Cargo Efetivo,0,7285503 7500000019,7285503 75,6630924 3099999996,6999987 7799999993
2016,11,01,11010412203892529,2529,PROVISAO DE GASTOS COM PESSOAL - GESTAO E FINANCAS PUBLICAS,100,100 - ORDINARIOS NAO VINCULADOS,319011,Vencimentos e Vantagens Fixas - Pessoal Civil,31901102,Remuneração De Cargo De Direção E Assistência Superior (Das),0,12287552 100000001,12287552 100000001,10903008 65,11505875 15
2016,11,01,11010412203892529,2529,PROVISAO DE GASTOS COM PESSOAL - GESTAO E FINANCAS PUBLICAS,100,100 - ORDINARIOS NAO VINCULADOS,319011,Vencimentos e Vantagens Fixas - Pessoal Civil,31901103,Remuneração De Cargo De Direção E Assistência Intermediária (Dai),0,435167 66999999993,435167 66999999998,395100 48999999999,420819 33000000002
2016,11,01,11010412203892529,2529,PROVISAO DE GASTOS COM PESSOAL - GESTAO E FINANCAS PUBLICAS,100,100 - ORDINARIOS NAO VINCULADOS,319011,Vencimentos e Vantagens Fixas - Pessoal Civil,31901108,Adicional Por Tempo De Serviço,0,4297741 9100000001,4297741 9100000001,3915936 21,4135390 5299999998
2016,11,01,11010412203892529,2529,PROVISAO DE GASTOS COM PESSOAL - GESTAO E FINANCAS PUBLICAS,100,100 - ORDINARIOS NAO VINCULADOS,319011,Vencimentos e Vantagens Fixas - Pessoal Civil,31901112,Direito Pessoal,0,5316391 4199999999,5316391 4199999999,4828497 0700000003,5110357 25
2016,11,01,11010412203892529,2529,PROVISAO DE GASTOS COM PESSOAL - GESTAO E FINANCAS PUBLICAS,100,100 - ORDINARIOS NAO VINCULADOS,319011,Vencimentos e Vantagens Fixas - Pessoal Civil,31901113,13º Salário - Clt,0,1635464 79,1635464 79,1635464 79,1635464 79
2016,11,01,11010412203892529,2529,PROVISAO DE GASTOS COM PESSOAL - GESTAO E FINANCAS PUBLICAS,100,100 - ORDINARIOS NAO VINCULADOS,319011,Vencimentos e Vantagens Fixas - Pessoal Civil,31901114,Gratificação Por Trabalho Técnico Ou Científico,0,688549 25,688549 25,622735 73999999999,662713 03000000003
2016,11,01,11010412203892529,2529,PROVISAO DE GASTOS COM PESSOAL - GESTAO E FINANCAS PUBLICAS,100,100 - ORDINARIOS NAO VINCULADOS,319011,Vencimentos e Vantagens Fixas - Pessoal Civil,31901116,Adicional De Insalubridade,0,599 84000000000003,599 84000000000003,599 84000000000003,735 75
2016,11,01,11010412203892529,2529,PROVISAO DE GASTOS COM PESSOAL - GESTAO E FINANCAS PUBLICAS,100,100 - ORDINARIOS NAO VINCULADOS,319011,Vencimentos e Vantagens Fixas - Pessoal Civil,31901121,13º Vencimento De Funcionário Estatutário,0,3944516 4499999997,3944516 4500000007,3944516 4500000002,3944516 4500000002
2016,11,01,11010412203892529,2529,PROVISAO DE GASTOS COM PESSOAL - GESTAO E FINANCAS PUBLICAS,100,100 - ORDINARIOS NAO VINCULADOS,319011,Vencimentos e Vantagens Fixas - Pessoal Civil,31901122,Remuneração De Férias Aos Funcionários Estatutários,0,1596183 8599999999,1596183 8599999999,1457500 6400000001,1559278 3300000001
2016,11,01,11010412203892529,2529,PROVISAO DE GASTOS COM PESSOAL - GESTAO E FINANCAS PUBLICAS,100,100 - ORDINARIOS NAO VINCULADOS,319011,Vencimentos e Vantagens Fixas - Pessoal Civil,31901126,Gratificação De Produtividade Fiscal,0,195091 20000000004,195091 20000000004,178833 60000000003,192628 80000000005
2016,11,01,11010412203892529,2529,PROVISAO DE GASTOS COM PESSOAL - GESTAO E FINANCAS PUBLICAS,100,100 - ORDINARIOS NAO VINCULADOS,319011,Vencimentos e Vantagens Fixas - Pessoal Civil,31901127,Gratificação De Desempenho Fazendário,0,249825 11999999997,249825 11999999997,233567 51999999999,256559 51999999999
2016,11,01,11010412203892529,2529,PROVISAO DE GASTOS COM PESSOAL - GESTAO E FINANCAS PUBLICAS,100,100 - ORDINARIOS NAO VINCULADOS,319011,Vencimentos e Vantagens Fixas - Pessoal Civil,31901129,Gratificação De Produtividade Fiscal De Atividades Econômicas,0,216768,216768,198704,214032
2016,11,01,11010412203892529,2529,PROVISAO DE GASTOS COM PESSOAL - GESTAO E FINANCAS PUBLICAS,100,100 - ORDINARIOS NAO VINCULADOS,319011,Vencimentos e Vantagens Fixas - Pessoal Civil,31901133,Gratificação de Controle Interno e de Apoio ao Controle Interno,0,255605 58999999994,255605 58999999994,234493 28999999995,251162 48999999996
2016,11,01,11010412203892529,2529,PROVISAO DE GASTOS COM PESSOAL - GESTAO E FINANCAS PUBLICAS,100,100 - ORDINARIOS NAO VINCULADOS,319011,Vencimentos e Vantagens Fixas - Pessoal Civil,31901136,Gratificação Pela Participação Em Órgão De Deliberação Coletiva,0,223639 76000000001,223639 76000000001,201880 50999999998,206864 86999999997
2016,11,01,11010412203892529,2529,PROVISAO DE GASTOS COM PESSOAL - GESTAO E FINANCAS PUBLICAS,100,100 - ORDINARIOS NAO VINCULADOS,319011,Vencimentos e Vantagens Fixas - Pessoal Civil,31901137,Gratificação De Datilógrafo,0,43296 82,43296 820000000007,39396 900000000001,42096 520000000004
2016,11,01,11010412203892529,2529,PROVISAO DE GASTOS COM PESSOAL - GESTAO E FINANCAS PUBLICAS,100,100 - ORDINARIOS NAO VINCULADOS,319011,Vencimentos e Vantagens Fixas - Pessoal Civil,31901138,Gratificação De Dupla Regência,0,41 509999999999998,41 509999999999998,0,0
2016,11,01,11010412203892529,2529,PROVISAO DE GASTOS COM PESSOAL - GESTAO E FINANCAS PUBLICAS,100,100 - ORDINARIOS NAO VINCULADOS,319011,Vencimentos e Vantagens Fixas - Pessoal Civil,31901142,Gratificação De Função Orçamentária,0,131641 40000000002,131641 40000000002,114932 20000000003,123266 80000000003
2016,11,01,11010412203892529,2529,PROVISAO DE GASTOS COM PESSOAL - GESTAO E FINANCAS PUBLICAS,100,100 - ORDINARIOS NAO VINCULADOS,319011,Vencimentos e Vantagens Fixas - Pessoal Civil,31901155,GRATIFICAÇÃO DE EXECUÇÃO TÉCNICA,0,1011164 4399999999,1011164 4399999999,912696 95999999996,974164 54999999993
2016,11,01,11010412203892529,2529,PROVISAO DE GASTOS COM PESSOAL - GESTAO E FINANCAS PUBLICAS,100,100 - ORDINARIOS NAO VINCULADOS,319011,Vencimentos e Vantagens Fixas - Pessoal Civil,31901159,GRATIFICACAO POR CAPACITACAO - GCAP,0,2380913 5,2380913 5,2161315 1899999999,2247617 3399999999
2016,11,01,11010412203892529,2529,PROVISAO DE GASTOS COM PESSOAL - GESTAO E FINANCAS PUBLICAS,100,100 - ORDINARIOS NAO VINCULADOS,319011,Vencimentos e Vantagens Fixas - Pessoal Civil,31901163,Gratificação do Sistema Municipal de Informática,0,330993 06000000006,330993 06000000006,302190 47000000003,325479 43000000005
2016,11,01,11010412203892529,2529,PROVISAO DE GASTOS COM PESSOAL - GESTAO E FINANCAS PUBLICAS,100,100 - ORDINARIOS NAO VINCULADOS,319011,Vencimentos e Vantagens Fixas - Pessoal Civil,31901164,ABONO DE PERMANENCIA,0,1071029 51,1071029 5099999998,967091 68999999994,1013814 1499999999
2016,11,01,11010412203892529,2529,PROVISAO DE GASTOS COM PESSOAL - GESTAO E FINANCAS PUBLICAS,100,100 - ORDINARIOS NAO VINCULADOS,319011,Vencimentos e Vantagens Fixas - Pessoal Civil,31901166,GRATIFICACAO POR DESEMPENHO NO CARGO TECNICO - GD,0,11897 359999999997,11897 359999999997,10648 739999999998,10648 739999999998
2016,11,01,11010412203892529,2529,PROVISAO DE GASTOS COM PESSOAL - GESTAO E FINANCAS PUBLICAS,100,100 - ORDINARIOS NAO VINCULADOS,319011,Vencimentos e Vantagens Fixas - Pessoal Civil,31901170,GRATIFICACAO DE PRODUTIVIDADE E DESEMPENHO EM GERENCIAMENTO DE PROJETOS E METAS,0,2931787 1999999997,2931787 2000000002,2687923 1999999997,2876265 9999999995
2016,11,01,11010412203892529,2529,PROVISAO DE GASTOS COM PESSOAL - GESTAO E FINANCAS PUBLICAS,100,100 - ORDINARIOS NAO VINCULADOS,319016,Outras Despesas Variáveis - Pessoal Civil,31901600,Outras Despesas Variáveis - Pessoal Civil,23633000,0,0,0,0
2016,11,01,11010412203892529,2529,PROVISAO DE GASTOS COM PESSOAL - GESTAO E FINANCAS PUBLICAS,100,100 - ORDINARIOS NAO VINCULADOS,319016,Outras Despesas Variáveis - Pessoal Civil,31901610,Remuneração Por Substituição,0,18420 540000000001,18420 540000000001,17265 41,24370 27
2016,11,01,11010412203892529,2529,PROVISAO DE GASTOS COM PESSOAL - GESTAO E FINANCAS PUBLICAS,100,100 - ORDINARIOS NAO VINCULADOS,319016,Outras Despesas Variáveis - Pessoal Civil,31901611,Gratificação De Encargos Especiais,0,23181562 350000001,23181562 349999998,20927838 43,22330859 640000001
2016,11,01,11010412203892529,2529,PROVISAO DE GASTOS COM PESSOAL - GESTAO E FINANCAS PUBLICAS,100,100 - ORDINARIOS NAO VINCULADOS,319016,Outras Despesas Variáveis - Pessoal Civil,31901615,Gratificação de Encargos Especiais - Vistoria de Imóveis,0,70000,70000,70000,70000
2016,11,01,11010412203892529,2529,PROVISAO DE GASTOS COM PESSOAL - GESTAO E FINANCAS PUBLICAS,100,100 - ORDINARIOS NAO VINCULADOS,319049,Auxílio Transporte,31904900,Auxílio-Transporte,513000,0,0,0,0
2016,11,01,11010412203892529,2529,PROVISAO DE GASTOS COM PESSOAL - GESTAO E FINANCAS PUBLICAS,100,100 - ORDINARIOS NAO VINCULADOS,319049,Auxílio Transporte,31904901,Auxílio-Transporte,0,415850 87,415850 87,397264 12,412094 56
