EXERCICIO,DESC_ORGAO,CODIGO_RUBRICA,DESC_RUBRICA,RECEITA_PREVISTA,RECEITA_ARRECADADA,RECEITA_ARRECADADA_JAN,RECEITA_ARRECADADA_FEV,RECEITA_ARRECADADA_MAR,RECEITA_ARRECADADA_ABR,RECEITA_ARRECADADA_MAI,RECEITA_ARRECADADA_JUN,RECEITA_ARRECADADA_JUL,RECEITA_ARRECADADA_AGO,RECEITA_ARRECADADA_SET,RECEITA_ARRECADADA_OUT,RECEITA_ARRECADADA_NOV,RECEITA_ARRECADADA_DEZ
2016,Prefeitura,1325010309,TRANSFERENCIAS DO FES - GESTAO DO SUS,1888,8940 380000000001,674 14999999999998,647 34000000000003,757 87,696 62,739 86000000000001,783 26999999999998,755 37,835 83000000000004,770 30999999999995,737 33000000000004,736 62,805 80999999999995
2016,Prefeitura,1325015135,CONV. 802319/2014/MDSCF - ESTRUTURACAO DA REDE DE SERVICOS DE PROTECAO SOCIAL ESPECIAL - A,0,195124 02000000002,0,36584 800000000003,16079 27,14652 370000000001,15502 690000000001,16460 669999999998,15861 76,17533 75,16115 48,15342 48,15242 719999999999,15748 030000000001
2016,Prefeitura,1325015395,CONV.030/2012/MTE/SENAES-PROJETO RIO ECON.SOL-COMPL.ALEMAO MARE ANTARES/PALMARES E COROA,0,107300 85000000001,10288 6,10857 6,10745 75,10840 75,7911 8199999999997,7655 6099999999997,8236 6599999999999,8648 2399999999998,7643 7600000000002,8277 9899999999998,8290 8199999999997,7903 25
2016,Prefeitura,1325015505,CONTR. PCRJ/CEF N. 24322-84 - URBAN. LOTEAMENTO NA ZONA OESTE,0,1342 8899999999999,101 2,96 980000000000004,113 98999999999999,104 69,110 93000000000001,117 34,113 28,125 51000000000001,115 90000000000001,110 84,110 73,121 5
2016,Prefeitura,1325015506,CONTRAPARTIDA/CEF/MRJ RECURSOS ORDINARIOS,0,106046 35000000001,7991 8100000000004,7658 0100000000002,9001 7299999999996,8266 9699999999993,8760 2199999999993,9266 9400000000005,8945 0900000000001,9911 7800000000007,9152 5900000000001,8752 0799999999999,8744 5499999999993,9594 5799999999999
2016,Prefeitura,1325015508,CONTR. PCRJ/BNDES N.98.2.400.3.1 - PROGRAMA COMPLEMENTACAO DE MELHORIAS NA AV. BRASIL,0,31000 84,2468 4699999999998,2365 3499999999999,2780 4099999999999,2553 4499999999998,2705 8099999999999,2862 3099999999999,2762 9099999999999,3061 4899999999998,2827,2703 29,2700 9699999999998,1209 3800000000001
2016,Prefeitura,1325015523,CONTR. CEF/SMO 395821-77 - PRO-TRANSPORTE - SEP   ETIBA,0,62895 769999999997,2701 0999999999999,2050 1900000000001,5508 5500000000002,10560 83,9729 1700000000001,685 40999999999997,6428 4399999999996,3485 73,1836 46,2579 6999999999998,5296 2600000000002,12033 93
2016,Prefeitura,1325015628,MEMO ENTEND. ESQUINA AMERICANA-BIBLIOTECA E.M. JOAQUIM NABUCO - SME,0,678 18000000000006,51 140000000000001,49 100000000000001,57 490000000000002,52 840000000000003,56 130000000000003,59 409999999999997,57 299999999999997,63 409999999999997,58 43,55 93,55 880000000000003,61 119999999999997
2016,Prefeitura,1122900102,TAXA DE COLETA DOMICILIAR DO LIXO,340059834,358719383 84999996,55087294 480000004,119495791 42,19909860 870000001,18801523 889999997,19845572 539999999,19365891 040000003,18900996 300000001,18456151 390000001,18386052 640000001,18401100 5,18397000 299999997,13672148 48
2016,Prefeitura,1313010101,FOROS,4600000,2136828 52,142338 54999999999,48725 75,102394 14999999999,30147 02,242604 88,128289 06,198932 35000000001,34290 519999999997,70232 190000000002,177812 51999999999,251049 79999999999,710011 72999999998
2016,Prefeitura,1325015133,CONV.802317/2014-MDSCF-ESTRUTURACAO DA REDE DE SERVICOS DE PROTECAO SOCIAL ESPECIAL-AQUIS.,0,218547 28,16961 299999999999,16302 65,19079 459999999999,17386 32,18395 32,19532 02,18821 380000000001,20798 369999999999,19106 150000000001,18189 709999999999,18040 220000000001,15934 379999999999
2016,Prefeitura,1325015136,CONV. 817639/2015/MDSCF - ESTRUTURACAO DA REDE DE SERVICOS DE PROTECAO SOCIAL ESPECIAL - A,0,521 00999999999999,0,0,0,0,0,0,0,0,0,0,0,521 00999999999999
2016,Prefeitura,1325015316,CONV.07/2006/PREVIRIO - PROJETO LONGEVIDADE - SETI,0,22190 899999999994,1673 3199999999999,1606 74,1881 1099999999999,1729 0799999999999,1836 4000000000001,1944 1800000000001,1874 8800000000001,2074 6100000000001,1912 01,1830 0999999999999,1828 3699999999999,2000 0999999999999
2016,Prefeitura,1325015318,CONV. 012/2007/ME/PCRJ - VILA PANAMERICANA - SMEL,0,806 63000000000011,60 780000000000001,58 25,68 469999999999999,62 880000000000003,66 640000000000001,70 489999999999995,68 040000000000006,75 400000000000006,69 609999999999999,66 579999999999998,66 510000000000005,72 980000000000004
2016,Prefeitura,1325015349,CONV. CR-CEF2607.0223650-76/2007 - PAC URBANIZACAO - COMPLEXO DO ALEMAO - SMH,0,415729 17999999999,33702 959999999999,30530 209999999999,29127 23,36436 25,33150 519999999997,34197 889999999999,36990 739999999998,35620 089999999997,39467 360000000001,35558 089999999997,35930 080000000002,35017 760000000002
2016,Prefeitura,1325015627,TRANSFERENCIA DO FNDE-PROGRAMA APOIO A CRECHES-BRASIL CARINHOSO-SME,1341306,1380829 9099999999,8526 2999999999993,36109 300000000003,187478 41,158817 48000000001,120722 78999999999,197046 06,220971 66,129771 83,59142 980000000003,98508 929999999993,105606 53,58127 639999999999
2016,Prefeitura,1325019801,CONV. 009/2015/SMA/PREVIRIO-MANUTENCAO DA FOLHA DE PAGAMENTO DOS SERV. INATIVOS-ERGON-SMA,0,24485 300000000007,48888 690000000002,991 64999999999998,1107 75,-46218 779999999999,1436 9400000000001,1539 98,2549 6700000000001,3233 4299999999998,2253 0500000000002,2310 5799999999999,3831 5300000000002,2560 8099999999999
2016,Prefeitura,1121250102,TAXA DE LICENC. E FISCAL.DE OBRAS REAL. EM LOGRAD.PUBLICOS,3953699,3545336 7000000002,331287 15000000002,227656 42000000001,298245 41999999998,321783 40000000002,296614 39000000001,317468 31,371760 44,259804 64999999999,304382 22999999998,222451 37,241972 17000000001,351910 75
2016,Prefeitura,1325010101,RECEITA DE REMUNERACAO DE DEPOSITOS BANCARIOS DE RECURSOS VINCULADOS - ROYALTIES,13751684,3102034 4000000004,424158 08000000002,340763 96000000002,356911 59999999998,254767 56,347520 12,401261 03000000003,228057 91,256625 26000000001,233157 37,220837 64999999999,166197 31,-128223 44999999998
2016,Prefeitura,1325010201,RECEITA DE REMUNERACAO DE DEPOSITOS DE RECURSOS VINCULADOS - FUNDEB,36947797,30209036 66,1270275 3700000001,2275206 7000000002,3349051 6200000001,2949150 8999999999,3358270 96,3497526 7599999998,3152975 9700000002,2787580 0699999998,2289385 96,1873654 3799999999,1775112 72,1630845 25
2016,Prefeitura,1325015130,CONV.777120/2012/MDSCF-ESTRUTURACAO DA REDE DE PROTECAO SOCIAL BASICA NOS CRAS - AQUIS MAT,0,144464 00999999998,11737 709999999999,10773 969999999999,12609 09,11490 139999999999,12156 51,12907 27,12296 92,13241 360000000001,12116 01,11520 26,11395 959999999999,12218 809999999999
2016,Prefeitura,1325015209,RECURSOS DO FMAD,15683,15738 639999999999,1186 78,1139 5699999999999,1334 1500000000001,1226 3299999999999,1302 4400000000001,1378 8900000000001,1329 74,1471 3900000000001,1356 0699999999999,1297 98,1296 75,1418 55
2016,Prefeitura,1325015223,TC 0302568-41/2009/MIN.CIDADES/CEF-URBANIZ.DEASSENT.PRECARIOS NO COMPLEXO DA TIJUCA-FMHIS,0,640386 90000000014,50538 830000000002,47409 040000000001,53873 360000000001,51204 849999999999,52046 82,52872 870000000003,56852 449999999997,53640 190000000002,55977 089999999997,55792 419999999998,51680 050000000003,58498 93
2016,Prefeitura,1325015337,CONV.726437/2009/MINC/FNC - QUALIFICACAO DOS ESPACOS CULTURAIS COMUNITARIOS - SMC,0,35314 669999999998,2662 9200000000001,2556 9899999999998,2993 5999999999999,2751 6599999999999,2922 4499999999998,3093 9699999999998,2983 6900000000001,3301 5500000000002,3042 77,2912 4299999999998,2909 6700000000001,3182 9699999999998
2016,Prefeitura,1325015376,CONV.BNDES 10.2.2030.1- AMPLIACAO DO PROGRAMADE COLETA SELETIVA NO MUNICIPIO DO RJ - SMAC,0,21010 37999999999,7167 6800000000003,6065 3699999999999,7057 8999999999996,7043 5,9829 1100000000006,9790 5400000000009,7658 1400000000003,8181 6300000000001,-41783 490000000005,0,0,0
2016,Prefeitura,1325015631,TRANSFERENCIA DO FNDE - TC PAR N 00070/2016 - PROGRAMA PROINFANCIA - INFRAESTRUTURA ESCOLA,0,726 20000000000005,0,0,0,0,0,0,0,0,0,0,0,726 20000000000005
2016,Prefeitura,1325015208,RECURSOS DO FMH,14473,36465 350000000006,3780 0100000000002,3622 1100000000001,4257 6800000000003,3910 1500000000001,4143 4499999999998,4383 1199999999999,4230 8800000000001,4688 1099999999997,4329 04,4139 6000000000004,4136 04,-9154 8400000000001
2016,Prefeitura,1325015374,CONV.SENASP/MJ 743281/2010-CAPACIT.DE AGENTESDA GMRJ NA UTILIZ.TECNOLOGIA NAO LETAL- SEOP,0,3200 7199999999993,602 38,624 05999999999995,574 52999999999997,661 27999999999997,590 12,20 300000000000001,22 09,21 489999999999998,21 620000000000001,21 739999999999998,19 41,21 699999999999999
2016,Prefeitura,1325015507,CONTRAPARTIDA CONTR. PCRJ/BID N.1241/OC - BR-PROAP II,0,65204 219999999987,4913 8900000000003,4708 6300000000001,5534 8599999999997,5083 0699999999997,5386 3599999999997,5697 8999999999996,5500 0299999999997,6094 4200000000001,5627 6000000000004,5381 3400000000001,5376 7299999999996,5899 3900000000003
2016,Prefeitura,1325015509,CONTRAPARTIDA CONTR.PCRJ/BNDES N.98.2.400.3.1-PROG.COMPLEMENTACAO MELHORIAS NA AV. BRASIL,0,245122 98000000001,18472 830000000002,17701 25,20807 209999999999,19108 849999999999,20249 009999999998,21420 25,20676 279999999999,22910 790000000001,21155 950000000001,20230 130000000001,20212 810000000001,22177 619999999999
2016,Prefeitura,1325015522,CONTR. CEF/SMO 395819-34 - PRO-TRANSPORTE - SAN   TA CRUZ E VALA DO SANGUE,0,84778 450000000012,431 10000000000002,68 780000000000001,5820 8500000000004,10323 690000000001,7934 3299999999999,584 91999999999996,931 86000000000001,24364 880000000001,671 62,12642 870000000001,843 51999999999998,20160 029999999999
2016,Prefeitura,1325015524,CONTR. PCRJ/BNDES - PROJ MELHORIA INFRA VIARIA RJ,0,326 06999999999994,0 42999999999999999,207 03999999999999,0,0,0,93 819999999999993,4 0199999999999996,4 46,4 1200000000000001,3 9300000000000002,3 9399999999999999,4 3099999999999996
2016,Prefeitura,1325015610,INSCRICAO EM CONCURSOS - ADM. DIRETA,0,60847 799999999988,10562 57,6888 1300000000001,7942 1300000000001,7296 4899999999998,7749 3800000000001,8204 1599999999999,7911 75,6494 7299999999996,5888 4399999999996,5636 2299999999996,5630 8699999999999,-19357 080000000002
2016,Prefeitura,1325015617,TRANSFERENCIA DO FNDE - PROGRAMA PROINFANCIA -CONSTRUCAO DE CRECHES - PAC II,1482709,932735 47000000009,79344 759999999995,74090 119999999995,82483 880000000005,70365 660000000003,74733 300000000003,79119 070000000007,76299 160000000003,84427 490000000005,77809 839999999997,74477 029999999999,74406 25,85178 910000000003
2016,Prefeitura,1325019818,CONV. N 824422/2015/MJ/SESGE - IMPLEMENTACAO DO PLANO NACIONAL DE SEGURANCA PARA A REALIZA,0,98483 159999999989,5725 8199999999997,10968 959999999999,12965 59,11815 02,12500 68,13273 139999999999,12790 219999999999,14138 43,4305 3000000000002,0,0,0
2016,Prefeitura,1121170101,TAXA DE INSPECAO SANITARIA,17142373,17779442 290000003,324165 01000000001,484760 88,11579416 6,1979818 6499999999,351705 83999999997,262627 95999999996,276711 67999999999,913447 83999999997,839730 58999999997,332135 41999999998,225568 37,209353 45000000001
2016,Prefeitura,1121250101,TAXA DE LICENCA PARA ESTABELECIMENTO,20931461,26130285 999999996,1889312 75,1742362 3400000001,2226292 27,1923332 3100000001,1594044 8600000001,1213462 8399999999,2007943 04,3060328 4399999999,2946952 6400000001,2753646 79,2391080 73,2381526 9899999998
2016,Prefeitura,1322010102,COMPANHIA DISTRIBUIDORA DE GAS DO RJ - CEG,59402,33373 349999999999,0,0,0,0,0,0,26044,0,0,0,0,7329 3500000000004
2016,Prefeitura,1325010102,RECEITA DE REMUNERACAO DE DEPOSITOS BANCARIOS-DREM,0,2710459 4700000002,0,0,0,0,0,0,0,0,0,0,0,2710459 4700000002
2016,Prefeitura,1325015131,CONV.813922/2014/MJ/FUNAD-PROTECAO  INCLUSAO E ACOLHIMENTO DE MULHERES EM SITUACAO DE RISC,0,204473 83000000002,16007 32,15385 719999999999,18006 34,16408 439999999999,17360 689999999999,18433 450000000001,17762 779999999999,19635 150000000001,18046 91,17181 259999999998,14553 559999999999,15692 209999999999
2016,Prefeitura,1325015134,CONV. 802223/2014/MDSCF - ESTRUTURACAO DA REDE DE SERVICOS DE PROTECAO SOCIAL ESPECIAL - A,0,199330 14000000001,0,37669 610000000001,16554 959999999999,15085 860000000001,15961 34,16947 650000000001,16331 030000000001,17807 380000000001,16319 559999999999,15508 98,15401 17,15742 6
2016,Prefeitura,1325015304,CONV. S/N/199/EMBRATEL - SMO,0,114614 21000000001,8642 5599999999995,8298 7299999999996,9715 7600000000002,8930 5499999999993,9484 8700000000008,10041 5,9683 6100000000006,10715 219999999999,9875 3400000000001,9452 3500000000004,9443 3600000000006,10330 360000000001
2016,Prefeitura,1325015305,CONV. S/N/2000/ERJ - COMPLEXO DA MANGUEIRA - SMO,0,11339 24,855 04999999999995,821 01999999999998,961 22000000000003,883 52999999999997,938 38,993 44000000000005,958 03999999999996,1060 0999999999999,977 00999999999999,935 14999999999998,934 26999999999998,1022 03
2016,Prefeitura,1325015502,CONTRAPARTIDA CONTR. PCRJ/BNDES N.99.2.633.2.1 - PMAT II,0,225 91999999999999,20 300000000000001,19 489999999999998,22 809999999999999,0,0,23 59,22 739999999999998,25 16,23 190000000000001,22 199999999999999,22 18,24 260000000000002
2016,Prefeitura,1314010101,LAUDEMIOS,92826053,15787451 529999999,685497 27000000002,777323 17000000004,984491 75,4608867 5300000003,610254 12,975145 89000000001,1088574 2,1524895 05,1313237 1299999999,738713 48999999999,1230698 45,1249753 48
2016,Prefeitura,1325010303,TRANSFERENCIAS DO FNS - VIGILANCIA EM SAUDE,2163204,2625318 8599999999,159662 26999999999,209248 47,258839 48999999999,233151 39999999999,253192 32000000001,239426 89999999999,193579 19,235613 63,198783 85999999999,220958 72,245623 48000000001,177239 13
2016,Prefeitura,1325010320,CONV. 762337/2011/MS - REORGANIZACAO DA UNIDADE DE VIGILANCIA E FISCALIZACAO EM ZOONOSE PA,0,63191 980000000003,4880 9899999999998,5256 6700000000001,4959 3800000000001,5118 8299999999999,5260 6499999999996,4941 0900000000001,5622 8000000000002,5675 6599999999999,5031 46,5562 1300000000001,5618 4899999999998,5263 8299999999999
2016,Prefeitura,1325010322,CONV. 032/2014/THYSSENKRUPP CSA - UNIDADE SENTINELA EM SANTA CRUZ - FMS,0,34326 25,2589 3400000000001,2486 3200000000002,2910 8699999999999,2675 6100000000001,2841 6999999999998,3008 46,2901 23,3210 3099999999999,2958 6799999999998,2831 9499999999998,2823 3000000000002,3088 48
2016,Prefeitura,1325010323,SERVICOS PRESTADOS DE MEDICINA VETERINARIA E ZOONOSES - FMS,0,106230 60999999999,0,0,858 20000000000005,8630 4099999999999,9166 1000000000004,10106 23,11145 549999999999,13080 02,12655 040000000001,12681 290000000001,13096 059999999999,14811 709999999999
2016,Prefeitura,1325010901,RECEITA DE REM.DE DEPOSITOS BANCARIOS DE RECURSOS VINCULADOS-CONTRIB.INTERV.DOM.ECO(CIDE),3638057,519138 12,37078 169999999998,39535 980000000003,46286 849999999999,50412 230000000003,52438 860000000001,28557 259999999998,37767 690000000002,48794 169999999998,44969 559999999998,43090 099999999999,43080 410000000003,47126 839999999997
2016,Prefeitura,1325015112,CONV.332/SNAS/MDS/2008 - AQUISICAO DE MATERIAL DE CONSUMO - FMAS,0,4260 8799999999974,21166 18,20324 110000000001,5384 0200000000004,0,2 9999999999999999E-2,-42613 459999999999,0,0,0,0,0,0
2016,Prefeitura,1325015118,PRIO DE JANEIRO FMAS IGD-SUAS,10566,12278 91,1349 79,14 699999999999999,410 91000000000003,410 94,1215 9400000000001,1971 1300000000001,1725 78,1928 4000000000001,1078 5899999999999,539 21000000000004,421 01999999999998,1212 5
2016,Prefeitura,1325015201,RECURSOS DO FMDCA,1712968,1051885 73,92256 660000000003,88284 410000000003,103686 22,95241 910000000003,96645 300000000003,89587 070000000007,83545 330000000002,87781 229999999996,81908 800000000003,77820 270000000004,76608 029999999999,78520 5
2016,Prefeitura,1112020101,IMPOSTO PREDIAL,2190946884,2213357275 1999998,210396109 57000002,798517401 56000006,129034878 27000001,124444789 45,133656030 38,126813679 34,124912538 72,121574303 09999999,116868570 54000001,122423619 17,122951420 11999999,81763934 979999989
2016,Prefeitura,1121290101,TAXA DE OBRAS EM AREAS PARTICULARES,33868680,25381475 719999999,1895484 8600000001,1664883 48,2164311 8999999999,1962999 01,2312215 9399999999,2590349 0600000001,2009624 6699999999,1759720 4099999999,2232738 6800000002,1573439 99,1741100 95,3474606 77
2016,Prefeitura,1325010302,TRANSFERENCIAS DO FNS - MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,14076477,13986982 970000001,782258 66000000003,1150422 73,2038891 5900000001,1738485 97,1854108 5600000001,1990208 4399999999,1253309 8500000001,1221110 8,716572 81000000006,531072 39000000001,517163 35999999999,193377 81
2016,Prefeitura,1325010305,TRANSFERENCIAS DO FNS - GESTAO DO SUS,68944,139578 06,15458 709999999999,14919 26,17458 880000000001,16047 889999999999,17043 990000000002,18044 23,9611 5100000000002,6348 25,5850 6599999999999,6116 6400000000003,6629 3500000000004,6048 6899999999996
2016,Prefeitura,1325010308,TRANSFERENCIAS DO FES - ASSISTENCIA FARMACEUTICA,120166,3565 9499999999998,94 530000000000001,742 32000000000005,113 81999999999999,104 63,111 12,117 63,113 45,1353 3699999999999,129 22,420 72000000000003,126 63,138 50999999999999
2016,Prefeitura,1325010321,TRANSFERENCIAS DO FES - VIGILANCIA EM SAUDE,556395,168503 11000000002,12105 07,12902 5,17052 049999999999,14461 73,15186 48,15979 77,15243 5,16867 27,15545 17,14879 33,14023 950000000001,4256 29
2016,Prefeitura,1325015306,CONV. S/N/2000/ERJ - LAGOA RODRIGO DE FREITAS - SMO,0,36708 180000000008,2768,2657 8899999999999,3111 7199999999998,2860 2399999999998,3037 7800000000002,3216 0500000000002,3101 4299999999998,3431 8299999999999,3162 8299999999999,3027 3600000000001,3024 48,3308 5700000000002
2016,Prefeitura,1325015602,TRANSFERENCIAS DO FNDE - PROGRAMA PNAE - MERENDA ESCOLAR,1770472,1795155 4899999998,105690,91300 919999999998,167676 51000000001,219600 06,228441 85999999999,166714 22,117831 8,143891 20000000001,167427 47,142375 23000000001,138461 45999999999,105744 75999999999
2016,Prefeitura,1325015604,MULTAS DE TRANSITO,3838381,4232190 9699999997,210919 41,177019 92000000001,269698 63,243517 39999999999,337927 84000000003,498826 53999999998,554738 48999999999,656233 10999999999,646050 93999999994,682473 32999999996,666932 04000000004,-712146 67999999993
2016,Prefeitura,1121260101,TAXA DE AUTORIZACAO DE PUBLICIDADE,8448613,7947267 8200000003,212555 42999999999,250217 85999999999,330601 44,298252 90999999997,641767 91000000003,3398948 29,948259 19000000006,573118 10999999999,363395 19,224161 81,524017 83000000002,181971 85000000001
2016,Prefeitura,1325015123,CONV.754574/2010/FNAS/MDS-AQUISICAO DE MATERIAL DE PERMANENTE - FMAS,0,31 799999999999955,157 97999999999999,151 69999999999999,40 18,0,0,-318 06,0,0,0,0,0,0
2016,Prefeitura,1325015202,RECURSOS DO FOE/PGM,0,1 862645149230957E-9,1252876 1599999999,1321405 8799999999,1567834 1200000001,1412550 99,1466192 8799999999,1538707 3100000001,1458956 8200000001,1606267,1488170 05,1417498 8200000001,-14530460 029999999,0
2016,Prefeitura,1325015217,RECURSOS DO FMH - REGULARIZACAO DE OBRAS,9289748,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Prefeitura,1325015228,RECURSOS DO FOE/PGM - HONORARIOS ADVOCATICIOS,0,17506371 510000002,0,0,0,0,0,0,0,0,0,0,15955221 810000001,1551149 7
2016,Prefeitura,1325015320,CONV. 02/2007/PREVIRIO/SMEL - CONSTRUCAO DO CLUBE DO SERVIDOR MUNICIPAL - SMEL,0,28652 580000000002,2160 5599999999999,2074 6100000000001,2428 8600000000001,2232 5599999999999,2371 1399999999999,2510 29,2420 8200000000002,2678 7199999999998,2468 75,2363,2360 7600000000002,2582 5100000000002
2016,Prefeitura,1325015325,PCRJ/ADAI-PROJ.15/2007 - MICROFILMAGEM E RECUP. DA SERIE ESCRAVIDAO-ARQUIVO DA CID. RJ-SMC,0,37 349999999999994,2 8100000000000001,2 71,3 1600000000000001,2 9100000000000001,3 0899999999999999,3 2799999999999998,3 1499999999999999,3 5,3 21,3 0800000000000001,3 0800000000000001,3 3700000000000001
